0B0X,0B0Y,0B0Z,0B1X,0B1Y,0B1Z,0B2X,0B2Y,0B2Z,0B3X,0B3Y,0B3Z,0B4X,0B4Y,0B4Z,0B5X,0B5Y,0B5Z,0B6X,0B6Y,0B6Z,0B7X,0B7Y,0B7Z,0B8X,0B8Y,0B8Z,0B9X,0B9Y,0B9Z,0B10X,0B10Y,0B10Z,0B11X,0B11Y,0B11Z,0B12X,0B12Y,0B12Z,0B13X,0B13Y,0B13Z,0B14X,0B14Y,0B14Z,0B15X,0B15Y,0B15Z
33018,32914,13337,32808,32796,13473,32946,32898,13327,32915,32813,13178,32804,32863,13166,32806,33154,13055,33026,33051,13566,32764,32845,13062,32906,32823,13397,33024,32894,13344,32896,32905,13525,32894,33051,13528,32864,32921,13178,32849,32956,13053,32893,32777,13100,32879,32844,13245
33022,32920,13328,32809,32788,13478,32946,32903,13329,32913,32817,13163,32803,32859,13158,32810,33146,12988,33030,33053,13568,32766,32842,13062,32899,32822,13410,33019,32895,13324,32897,32905,13523,32892,33033,13520,32864,32912,13183,32846,32941,13042,32896,32781,13116,32883,32846,13241
33020,32915,13333,32804,32800,13469,32944,32891,13329,32915,32811,13143,32808,32852,13098,32805,33152,12983,33025,33045,13555,32762,32842,13043,32903,32827,13394,33018,32894,13328,32892,32901,13530,32892,33029,13502,32864,32918,13163,32845,32957,13047,32897,32779,13092,32880,32847,13246
33013,32916,13340,32807,32792,13481,32946,32898,13319,32916,32815,13158,32803,32859,13180,32808,33152,12993,33029,33052,13565,32763,32840,13019,32902,32822,13401,33019,32896,13312,32895,32909,13529,32892,33040,13498,32862,32919,13181,32848,32947,13038,32893,32780,13121,32883,32847,13270
33018,32922,13332,32809,32789,13476,32944,32905,13329,32913,32821,13159,32803,32854,13133,32809,33154,13037,33021,33057,13568,32763,32837,13044,32904,32823,13414,33018,32903,13307,32895,32902,13539,32890,33037,13478,32869,32921,13163,32851,32950,13054,32894,32782,13111,32884,32843,13261
33016,32923,13312,32809,32792,13479,32946,32903,13339,32918,32819,13139,32801,32855,13193,32805,33155,13006,33025,33054,13586,32766,32845,13049,32902,32829,13427,33018,32895,13300,32895,32902,13506,32895,33039,13509,32867,32916,13188,32850,32959,13068,32890,32782,13083,32885,32845,13260
33022,32917,13309,32807,32797,13494,32944,32896,13340,32919,32817,13171,32808,32852,13175,32810,33150,12992,33022,33054,13568,32761,32844,13040,32907,32822,13414,33019,32897,13299,32896,32899,13516,32894,33040,13482,32863,32920,13184,32848,32960,13062,32896,32790,13083,32879,32847,13267
33018,32916,13299,32808,32791,13487,32949,32903,13340,32914,32810,13167,32806,32853,13175,32809,33155,12989,33028,33052,13568,32762,32841,13025,32905,32823,13409,33022,32902,13311,32895,32908,13514,32887,33048,13491,32862,32917,13181,32847,32956,13044,32896,32780,13104,32878,32840,13277
33021,32920,13321,32808,32802,13472,32948,32900,13342,32917,32818,13166,32805,32862,13168,32806,33152,13031,33025,33058,13571,32766,32843,13042,32903,32823,13422,33019,32893,13305,32900,32901,13551,32893,33048,13496,32863,32919,13182,32848,32957,13065,32894,32785,13107,32881,32841,13281
33020,32916,13302,32810,32792,13478,32944,32893,13332,32913,32816,13161,32806,32852,13150,32812,33152,13050,33030,33049,13551,32762,32846,13032,32901,32823,13409,33020,32891,13317,32890,32907,13525,32890,33042,13480,32863,32923,13204,32851,32957,13051,32894,32782,13106,32880,32844,13260
33018,32917,13324,32803,32788,13486,32944,32903,13337,32917,32813,13141,32803,32864,13162,32811,33154,12999,33028,33045,13563,32764,32853,13021,32904,32820,13405,33020,32892,13321,32894,32897,13543,32892,33037,13472,32864,32916,13167,32853,32953,13053,32892,32782,13115,32881,32842,13266
