0B0X,0B0Y,0B0Z,0B1X,0B1Y,0B1Z,0B2X,0B2Y,0B2Z,0B3X,0B3Y,0B3Z,0B4X,0B4Y,0B4Z,0B5X,0B5Y,0B5Z,0B6X,0B6Y,0B6Z,0B7X,0B7Y,0B7Z,0B8X,0B8Y,0B8Z,0B9X,0B9Y,0B9Z,0B10X,0B10Y,0B10Z,0B11X,0B11Y,0B11Z,0B12X,0B12Y,0B12Z,0B13X,0B13Y,0B13Z,0B14X,0B14Y,0B14Z,0B15X,0B15Y,0B15Z
9912,31503,52160,14886,54517,64800,11126,51422,58667,20851,51782,6789,9182,12970,42478,16782,6775,4204,9260,57512,1543,22263,19236,19002,16025,62992,42916,25876,9373,62758,20190,62531,53500,27945,17945,7620,21804,9208,51263,24513,53165,61389,25828,64023,44015,33107,1789,3474
9845,31708,51987,14898,54767,64841,11117,52034,58621,20855,52197,6903,9196,12859,42305,16814,6420,4288,9278,57205,1527,22317,19038,19058,16092,62916,42781,25910,9282,62633,20239,62460,53210,28048,17900,7516,21809,9176,51161,24631,53165,61352,25881,64107,43981,33214,1822,3377
9806,32140,51495,14866,55489,64853,11042,52468,58438,20817,52562,6883,9183,12752,41837,16859,6242,4322,9278,56599,1492,22418,18957,19207,16132,62790,42388,25970,9157,62542,20345,62250,53043,28102,17809,7450,21824,9166,50988,24710,53111,61065,25917,64178,43767,33293,1930,3244
9745,32409,51207,14810,55966,64769,10915,53468,58307,20782,53456,6881,9213,12677,41569,16857,5817,4362,9230,56367,1237,22443,18775,19307,16226,62810,42165,25984,9056,62426,20379,62204,52647,28133,17762,7468,21836,9179,50933,24819,53096,60879,25980,64265,43681,33428,1986,3148
9668,33073,50620,14674,56482,64727,10815,54042,58036,20735,53940,6959,9234,12587,41273,16901,5609,4386,9228,55809,1204,22477,18730,19459,16241,62786,41759,26046,8965,62300,20419,62072,52465,28228,17737,7451,21827,9172,50855,24880,53116,60602,26015,64418,43619,33500,2162,3105
9557,33479,50283,14623,57500,64765,10643,54646,57988,20685,54879,7039,9210,12538,40858,16922,5301,4475,9224,55559,1142,22571,18631,19524,16332,62721,41604,26067,8931,62184,20474,61986,52206,28278,17716,7480,21843,9261,50884,25024,53127,60609,26061,64545,43633,33629,2351,2977
9506,34182,49998,14540,57970,64846,10570,55712,57933,20645,55244,7200,9179,12505,40636,16955,5038,4466,9234,55245,1010,22623,18462,19564,16379,62679,41434,26135,8915,62047,20554,61921,52007,28348,17714,7406,21853,9286,50877,25089,53252,60430,26092,64775,43630,33654,2528,2861
9407,34504,49365,14405,58343,64884,10456,56205,57746,20561,55771,7291,9258,12328,40355,17022,4458,4386,9237,54503,614,22677,17943,19549,16494,62731,41017,26146,8812,61674,20590,61825,51417,28370,17537,7263,21856,9346,50827,25168,53307,59948,26151,64884,43528,33644,2616,2544
9347,35350,48992,14343,59130,64972,10281,56782,57664,20511,56043,7509,9274,12238,39661,17082,4167,4293,9289,54067,466,22735,17751,19514,16528,62756,40755,26188,8738,61562,20704,61774,51128,28401,17484,7156,21845,9375,50689,25204,53506,59670,26158,65173,43469,33603,2862,2402
9239,35845,48177,14320,59525,65163,10203,58132,57551,20448,56270,7648,9299,12216,39302,17172,3857,4231,9275,53142,301,22829,17451,19465,16583,62765,40175,26214,8590,61119,20783,61653,50801,28423,17279,6922,21831,9453,50557,25210,53638,59033,26160,65315,43321,33553,2964,1984
9139,36959,47682,14229,60071,65236,10114,58948,57461,20442,56736,8096,9314,11987,38881,17264,2865,4032,9366,52503,65432,22930,16631,19426,16709,62783,39828,26284,8496,60851,20951,61577,49913,28503,17095,6829,21824,9495,50264,25264,53920,58642,26210,542,43191,33471,3084,1762
9059,37652,46660,14209,61063,65508,9965,60871,57434,20455,56931,8247,9288,11851,38003,17550,2411,4077,9434,51129,65313,23170,16294,19357,16788,62756,39080,26361,8343,60644,21048,61455,49505,28553,16968,6637,21834,9562,50103,25307,54159,58083,26233,756,43063,33444,3529,1399
8855,39314,46050,14199,61653,348,9904,61959,57357,20483,57196,8368,9294,11822,37588,17659,1568,4152,9523,50411,65433,23291,16031,19266,16855,62708,38763,26463,8293,60314,21149,61378,48922,28628,16929,6558,21841,9705,49879,25389,54737,57944,26258,1109,43096,33373,3918,1351
8743,40237,44756,14222,62195,594,9766,63098,57316,20484,57348,8643,9258,11697,37164,18010,1259,4296,9690,49147,65508,23549,15963,19224,16900,62617,38145,26493,8168,60214,21352,61252,48688,28681,16975,6559,21818,9759,49796,25420,55031,57809,26286,1344,43201,33343,4759,1232
8521,41128,44127,14255,63238,877,9657,65401,57402,20531,57395,8799,9153,11543,36500,18206,584,4429,9772,48467,235,23677,15875,19152,16971,62617,37891,26560,8150,60076,21459,61215,48234,28723,16979,6442,21791,9920,49735,25521,55344,57816,26303,1538,43295,33206,5212,1200
8369,43022,42902,14324,63691,1686,9650,1051,57686,20569,57346,9191,9007,11474,36232,18404,208,4642,10025,47786,358,24003,15836,18913,16968,62489,37447,26678,8189,59975,21689,61196,48038,28779,17016,6404,21770,10004,49735,25555,56096,57829,26313,1908,43622,33128,6213,1208
8171,43974,42289,14555,64071,2228,9557,2195,57840,20747,56965,9440,8944,11234,35976,18888,65356,4782,10215,46261,749,24166,15645,18770,17003,62453,37233,26728,8136,59736,21819,61144,47616,28813,17082,6229,21757,10193,49723,25613,56488,57790,26336,2088,43790,32946,6720,1278
8078,45907,41098,14711,64764,2745,9533,4644,58096,20818,56759,9860,8776,11026,35576,19148,65035,5031,10612,45424,1078,24350,15701,18432,17035,62294,36904,26866,8176,59685,22100,61149,47466,28867,17109,6247,21740,10256,49786,25658,57336,57920,26354,2451,44239,32858,7788,1299
7798,46946,40487,14844,65184,3851,9567,5863,58705,20998,56282,10030,8532,10847,35436,19720,64757,5168,10826,43857,1300,24670,15817,18291,17088,62189,36758,26949,8193,59573,22220,61191,47238,28898,17257,6261,21706,10417,49850,25752,57759,58243,26391,2680,44470,32764,8382,1534
7722,48584,39856,15102,65461,4338,9495,7894,58882,21054,56093,10310,8435,10466,35301,19971,64172,5384,11237,43140,1626,24822,15872,18006,17126,62050,36599,27074,8211,59558,22518,61189,47082,28956,17362,6193,21713,10529,49947,25805,58583,58415,26426,3018,44706,32600,9399,1662
7591,49248,38797,15196,240,4786,9464,8816,59317,21177,55973,10447,8424,10284,34969,20444,63887,5426,11443,41762,1669,25082,15876,17878,17287,61939,36246,27129,8178,59448,22641,61161,46871,28993,17451,6164,21711,10639,49962,25873,58883,58623,26478,3137,45013,32534,9775,1896
7533,50395,38341,15321,554,5546,9446,9643,59468,21243,55851,10735,8274,10069,34852,20625,63376,5563,11613,41186,1786,25211,15873,17776,17333,61813,36089,27220,8141,59448,22879,61169,46588,29075,17510,6099,21695,10661,49995,25990,59479,58652,26518,3411,45143,32417,10305,1926
7492,50850,37535,15499,841,5919,9439,11028,59615,21321,55856,10889,8245,9738,34748,20957,63016,5581,11938,40204,1741,25415,15780,17701,17408,61764,35790,27285,8183,59380,22953,61189,46397,29108,17470,6109,21699,10713,50004,26053,59590,58659,26533,3498,45246,32364,10425,2010
7488,51490,37167,15513,1292,6204,9388,11507,59707,21329,55918,11022,8289,9617,34425,21081,62434,5444,12036,39803,1249,25489,15348,17563,17529,61883,35608,27337,8187,59023,23008,61267,45900,29116,17431,5865,21704,10805,49880,26083,59773,58540,26548,3708,45205,32255,10470,1993
7503,51788,36403,15525,1530,6590,9292,11970,59677,21310,55919,11240,8383,9479,34235,21154,62249,5182,12186,39471,1010,25517,15178,17489,17599,61938,35252,27319,8172,58889,23074,61402,45659,29096,17329,5800,21684,10849,49835,26056,60082,58329,26543,3834,45246,32184,10657,2005
7508,52440,35977,15478,1698,6642,9271,12905,59560,21269,55921,11294,8437,9423,34036,21220,62016,5046,12267,38946,685,25493,15075,17358,17695,62094,35088,27312,8167,58766,23099,61445,45321,29080,17349,5709,21671,10915,49822,25985,60232,58363,26502,4042,45314,32022,10854,2082
7527,52737,35140,15474,2036,6691,9207,13330,59327,21203,55978,11269,8496,9380,33737,21262,61924,4933,12333,38772,497,25436,15088,17276,17723,62157,34854,27292,8198,58719,23122,61574,45215,29040,17405,5716,21627,10954,49836,25976,60600,58451,26502,4123,45485,31973,11211,2209
7576,52988,34782,15451,2202,6825,9111,13940,59225,21145,56053,11301,8545,9363,33607,21345,61844,4887,12357,38333,447,25436,15046,17220,17800,62166,34729,27298,8238,58598,23158,61573,44932,29038,17423,5680,21637,11022,49846,25987,60728,58446,26505,4229,45509,31897,11373,2236
7595,53244,34249,15386,2366,6870,9057,14182,59076,21104,56187,11427,8657,9199,33438,21397,61484,4729,12484,38122,65505,25484,14916,17213,17887,62251,34439,27314,8181,58513,23208,61640,44780,29059,17401,5649,21631,11028,49712,25990,60883,58405,26524,4370,45417,31897,11413,2245
7627,53319,34059,15376,2645,6941,9011,14375,59106,21094,56293,11501,8781,9170,33174,21512,61340,4607,12559,37625,65303,25523,14695,17204,18019,62312,34299,27337,8173,58334,23273,61675,44460,29086,17300,5619,21661,11052,49684,26071,60840,58305,26555,4410,45362,31933,11422,2159
7615,53500,33779,15396,2739,7277,8982,14860,59247,21119,56318,11626,8779,8984,33102,21624,61006,4580,12694,37278,65125,25620,14681,17173,18072,62232,34114,27423,8190,58317,23443,61652,44360,29198,17312,5604,21675,11042,49535,26154,60983,58265,26608,4485,45372,31963,11562,2164
7562,53650,33652,15528,2839,7476,8996,15183,59450,21219,56332,11678,8788,8685,33040,21872,60915,4687,12968,36627,65188,25847,14807,17165,18190,62127,34016,27488,8131,58332,23551,61537,44301,29261,17418,5592,21715,11020,49543,26231,61049,58388,26695,4480,45412,31996,11687,2253
7575,54042,33505,15652,3167,7655,9090,15542,59532,21270,56348,11783,8722,8514,33032,22029,60773,4719,13084,36307,65488,25959,14963,17182,18251,61918,33947,27588,8091,58426,23693,61481,44295,29354,17432,5742,21713,11025,49562,26382,61265,58481,26737,4586,45461,32034,11954,2370
7579,54296,33077,15730,3353,7992,9142,16533,59663,21368,56379,11852,8615,8464,33036,22121,60827,4973,13295,36057,166,26102,15263,17170,18250,61947,33887,27616,8147,58486,23754,61495,44359,29389,17606,5757,21731,11137,49610,26435,61432,58706,26785,4604,45676,32025,12124,2467
7606,54874,32825,15903,3543,8114,9163,17028,59678,21383,56452,11857,8563,8349,33058,22339,60705,5108,13363,35592,377,26142,15387,17098,18268,61849,33862,27656,8158,58517,23784,61533,44395,29403,17699,5782,21727,11184,49735,26471,61557,58823,26780,4747,45796,31966,12513,2564
7653,55140,32167,15932,3834,8233,9171,17985,59606,21366,56371,11856,8528,8269,32902,22429,60648,5187,13550,35323,372,26161,15499,17030,18305,61838,33693,27677,8217,58546,23895,61558,44329,29399,17837,5866,21698,11194,49789,26485,61953,59072,26785,4830,45999,31908,12729,2800
7756,55698,31730,15974,3918,8405,9185,18503,59462,21347,56102,11801,8519,8190,32796,22648,60641,5195,13746,34607,397,26152,15898,16825,18409,61782,33586,27721,8217,58627,23985,61540,44235,29401,17957,5938,21701,11284,49812,26504,62186,59284,26815,4988,46142,31767,12997,2940
7842,55991,30858,16134,3985,8553,9235,19026,59413,21333,55846,11516,8504,7916,32691,22814,60713,5378,14137,34182,702,26153,16259,16703,18475,61697,33374,27761,8343,58694,24188,61574,44255,29391,18322,5967,21710,11347,49837,26535,62792,59831,26855,5114,46517,31688,13698,3349
7955,56516,30444,16255,3826,8628,9255,19934,59480,21255,55231,11267,8419,7652,32533,23165,60804,5507,14362,33310,874,26130,17105,16454,18617,61489,33283,27799,8427,58911,24322,61604,44311,29393,18515,6166,21745,11413,49869,26622,63097,60178,26936,5241,46709,31502,14028,3535
8000,56829,29663,16307,3593,8719,9293,20304,59515,21223,54918,10779,8376,7485,32497,23303,61048,5655,14575,32920,1266,26074,17548,16348,18671,61389,33134,27887,8566,59001,24559,61600,44363,29374,18720,6263,21772,11445,49877,26645,63749,60495,26974,5303,47081,31385,14585,3982
8141,57030,29303,16481,3436,8748,9353,20650,59571,21157,54645,10580,8332,7120,32446,23598,61179,5899,14979,32207,1519,26050,18368,16269,18781,61259,33060,27897,8568,59274,24662,61563,44461,29372,19127,6370,21784,11486,49896,26684,64024,61052,27058,5397,47239,31190,14844,4145
8211,57496,28572,16534,3310,8796,9397,21485,59552,21123,54283,10163,8308,6953,32369,23715,61404,6036,15179,31878,1905,26018,18736,16129,18802,61162,32900,27964,8658,59363,24839,61573,44508,29365,19264,6491,21790,11534,49934,26686,64544,61237,27097,5500,47587,31085,15344,4305
8338,57779,28157,16681,3472,8919,9449,22012,59470,21110,54173,10024,8239,6865,32358,23839,61504,6275,15512,31577,2120,26011,19401,16071,18896,61026,32840,27979,8685,59594,24923,61565,44565,29362,19605,6499,21796,11634,49974,26690,64846,61665,27125,5609,47747,30880,15569,4560
8436,58443,27301,16926,3537,9014,9598,23401,59491,21143,53860,9946,8136,6629,32345,24090,61749,6402,15656,30895,2532,26008,19729,15887,18918,60942,32783,27998,8772,59668,25071,61597,44694,29329,19758,6571,21771,11695,50215,26615,435,61900,27137,5850,48231,30771,16165,4707
8608,58864,26773,17102,3753,9200,9663,24253,59468,21184,53665,9764,8049,6534,32414,24244,61854,6625,16081,30563,2822,25985,20601,15785,18910,60936,32800,28001,8967,59929,25112,61738,44792,29314,20196,6637,21749,11906,50393,26576,857,62477,27133,6014,48579,30629,16521,5088
8727,59843,26189,17267,3848,9379,9897,25249,59406,21166,53359,9601,7733,6396,32478,24527,62103,6789,16268,29944,3229,25923,21140,15547,18918,60790,32820,27950,9068,60128,25184,61748,45168,29196,20430,6869,21704,12005,50959,26491,1471,62904,27138,6489,49018,30280,17441,5339
9134,60243,24684,17527,4044,9385,9979,27240,59135,21096,53279,9198,7698,6302,32503,24602,62590,7030,16582,29695,3669,25637,22237,15367,18931,60833,32842,27887,9288,60490,25199,62023,45316,29109,21015,6854,21612,12304,51265,26410,2854,63486,27054,6691,49876,30070,17929,5802
9464,60948,23786,17577,4461,9300,10030,28189,58330,20861,53093,8865,7677,6354,32313,24626,62831,7152,16721,29353,3827,25432,22857,15046,18925,61053,32777,27692,9426,60689,25178,62143,45592,28987,21339,6890,21565,12452,51888,26178,3616,63675,27018,7238,50320,29563,18892,6072
9738,61316,22017,17617,4519,8933,10211,29167,57992,20745,52916,8187,7474,6370,32301,24610,63800,7240,16848,29273,4510,25001,23640,14869,18918,61084,32827,27582,9818,60916,25090,62335,45889,28732,22087,6919,21425,12596,52317,26041,5437,63840,26967,7518,51403,29314,19286,6720
